Age,Race,Sex,Education,Weight
60 to 64 years,Hispanic,Male,None,12
60 to 64 years,Hispanic,Male,1st - 4th grade,61
60 to 64 years,Hispanic,Male,5th - 6th grade,135
60 to 64 years,Hispanic,Male,7th - 8th grade,48
60 to 64 years,Hispanic,Male,9th grade,44
60 to 64 years,Hispanic,Male,10th grade,13
60 to 64 years,Hispanic,Male,11th grade2,47
60 to 64 years,Hispanic,Male,High school graduate,298
60 to 64 years,Hispanic,Male,"Some college, no degree",170
60 to 64 years,Hispanic,Male,"Associate's degree, occupational",34
60 to 64 years,Hispanic,Male,"Associate's degree, academic",34
60 to 64 years,Hispanic,Male,Bachelor's degree,133
60 to 64 years,Hispanic,Male,Master's degree,48
60 to 64 years,Hispanic,Male,Professional degree,10
60 to 64 years,Hispanic,Male,Doctoral degree,12
65 to 69 years,Hispanic,Male,None,18
65 to 69 years,Hispanic,Male,1st - 4th grade,36
65 to 69 years,Hispanic,Male,5th - 6th grade,86
65 to 69 years,Hispanic,Male,7th - 8th grade,56
65 to 69 years,Hispanic,Male,9th grade,37
65 to 69 years,Hispanic,Male,10th grade,18
65 to 69 years,Hispanic,Male,11th grade2,30
65 to 69 years,Hispanic,Male,High school graduate,205
65 to 69 years,Hispanic,Male,"Some college, no degree",113
65 to 69 years,Hispanic,Male,"Associate's degree, occupational",28
65 to 69 years,Hispanic,Male,"Associate's degree, academic",28
65 to 69 years,Hispanic,Male,Bachelor's degree,84
65 to 69 years,Hispanic,Male,Master's degree,27
65 to 69 years,Hispanic,Male,Professional degree,9
65 to 69 years,Hispanic,Male,Doctoral degree,6
70 to 74 years,Hispanic,Male,None,10
70 to 74 years,Hispanic,Male,1st - 4th grade,40
70 to 74 years,Hispanic,Male,5th - 6th grade,47
70 to 74 years,Hispanic,Male,7th - 8th grade,30
70 to 74 years,Hispanic,Male,9th grade,24
70 to 74 years,Hispanic,Male,10th grade,14
70 to 74 years,Hispanic,Male,11th grade2,11
70 to 74 years,Hispanic,Male,High school graduate,121
70 to 74 years,Hispanic,Male,"Some college, no degree",61
70 to 74 years,Hispanic,Male,"Associate's degree, occupational",8
70 to 74 years,Hispanic,Male,"Associate's degree, academic",11
70 to 74 years,Hispanic,Male,Bachelor's degree,49
70 to 74 years,Hispanic,Male,Master's degree,19
70 to 74 years,Hispanic,Male,Professional degree,3
70 to 74 years,Hispanic,Male,Doctoral degree,8
75 years and over,Hispanic,Male,None,37
75 years and over,Hispanic,Male,1st - 4th grade,84
75 years and over,Hispanic,Male,5th - 6th grade,95
75 years and over,Hispanic,Male,7th - 8th grade,53
75 years and over,Hispanic,Male,9th grade,31
75 years and over,Hispanic,Male,10th grade,19
75 years and over,Hispanic,Male,11th grade2,34
75 years and over,Hispanic,Male,High school graduate,191
75 years and over,Hispanic,Male,"Some college, no degree",64
75 years and over,Hispanic,Male,"Associate's degree, occupational",15
75 years and over,Hispanic,Male,"Associate's degree, academic",11
75 years and over,Hispanic,Male,Bachelor's degree,66
75 years and over,Hispanic,Male,Master's degree,30
75 years and over,Hispanic,Male,Professional degree,7
75 years and over,Hispanic,Male,Doctoral degree,9
18 to 24 years,Hispanic,Female,None,15
18 to 24 years,Hispanic,Female,1st - 4th grade,2
18 to 24 years,Hispanic,Female,5th - 6th grade,13
18 to 24 years,Hispanic,Female,7th - 8th grade,8
18 to 24 years,Hispanic,Female,9th grade,44
18 to 24 years,Hispanic,Female,10th grade,95
18 to 24 years,Hispanic,Female,11th grade2,415
18 to 24 years,Hispanic,Female,High school graduate,965
18 to 24 years,Hispanic,Female,"Some college, no degree",1225
18 to 24 years,Hispanic,Female,"Associate's degree, occupational",81
18 to 24 years,Hispanic,Female,"Associate's degree, academic",164
18 to 24 years,Hispanic,Female,Bachelor's degree,232
18 to 24 years,Hispanic,Female,Master's degree,16
18 to 24 years,Hispanic,Female,Professional degree,0
18 to 24 years,Hispanic,Female,Doctoral degree,0
25 to 29 years,Hispanic,Female,None,10
25 to 29 years,Hispanic,Female,1st - 4th grade,5
25 to 29 years,Hispanic,Female,5th - 6th grade,43
25 to 29 years,Hispanic,Female,7th - 8th grade,27
25 to 29 years,Hispanic,Female,9th grade,58
25 to 29 years,Hispanic,Female,10th grade,31
25 to 29 years,Hispanic,Female,11th grade2,100
25 to 29 years,Hispanic,Female,High school graduate,735
25 to 29 years,Hispanic,Female,"Some college, no degree",495
25 to 29 years,Hispanic,Female,"Associate's degree, occupational",138
25 to 29 years,Hispanic,Female,"Associate's degree, academic",171
25 to 29 years,Hispanic,Female,Bachelor's degree,437
25 to 29 years,Hispanic,Female,Master's degree,82
25 to 29 years,Hispanic,Female,Professional degree,16
25 to 29 years,Hispanic,Female,Doctoral degree,11
30 to 34 years,Hispanic,Female,None,3
30 to 34 years,Hispanic,Female,1st - 4th grade,23
30 to 34 years,Hispanic,Female,5th - 6th grade,80
30 to 34 years,Hispanic,Female,7th - 8th grade,64
30 to 34 years,Hispanic,Female,9th grade,92
30 to 34 years,Hispanic,Female,10th grade,63
30 to 34 years,Hispanic,Female,11th grade2,101
30 to 34 years,Hispanic,Female,High school graduate,689
30 to 34 years,Hispanic,Female,"Some college, no degree",292
30 to 34 years,Hispanic,Female,"Associate's degree, occupational",120
30 to 34 years,Hispanic,Female,"Associate's degree, academic",157
30 to 34 years,Hispanic,Female,Bachelor's degree,317
30 to 34 years,Hispanic,Female,Master's degree,141
30 to 34 years,Hispanic,Female,Professional degree,14
30 to 34 years,Hispanic,Female,Doctoral degree,10
35 to 39 years,Hispanic,Female,None,11
35 to 39 years,Hispanic,Female,1st - 4th grade,31
35 to 39 years,Hispanic,Female,5th - 6th grade,99
35 to 39 years,Hispanic,Female,7th - 8th grade,84
35 to 39 years,Hispanic,Female,9th grade,116
35 to 39 years,Hispanic,Female,10th grade,73
35 to 39 years,Hispanic,Female,11th grade2,109
35 to 39 years,Hispanic,Female,High school graduate,596
35 to 39 years,Hispanic,Female,"Some college, no degree",314
35 to 39 years,Hispanic,Female,"Associate's degree, occupational",95
35 to 39 years,Hispanic,Female,"Associate's degree, academic",125
35 to 39 years,Hispanic,Female,Bachelor's degree,328
35 to 39 years,Hispanic,Female,Master's degree,162
35 to 39 years,Hispanic,Female,Professional degree,9
35 to 39 years,Hispanic,Female,Doctoral degree,18
40 to 44 years,Hispanic,Female,None,19
40 to 44 years,Hispanic,Female,1st - 4th grade,31
40 to 44 years,Hispanic,Female,5th - 6th grade,152
40 to 44 years,Hispanic,Female,7th - 8th grade,112
40 to 44 years,Hispanic,Female,9th grade,130
40 to 44 years,Hispanic,Female,10th grade,49
40 to 44 years,Hispanic,Female,11th grade2,107
40 to 44 years,Hispanic,Female,High school graduate,557
40 to 44 years,Hispanic,Female,"Some college, no degree",245
40 to 44 years,Hispanic,Female,"Associate's degree, occupational",80
40 to 44 years,Hispanic,Female,"Associate's degree, academic",89
40 to 44 years,Hispanic,Female,Bachelor's degree,296
40 to 44 years,Hispanic,Female,Master's degree,127
40 to 44 years,Hispanic,Female,Professional degree,20
40 to 44 years,Hispanic,Female,Doctoral degree,15
45 to 49 years,Hispanic,Female,None,10
45 to 49 years,Hispanic,Female,1st - 4th grade,49
45 to 49 years,Hispanic,Female,5th - 6th grade,136
45 to 49 years,Hispanic,Female,7th - 8th grade,76
45 to 49 years,Hispanic,Female,9th grade,95
45 to 49 years,Hispanic,Female,10th grade,46
45 to 49 years,Hispanic,Female,11th grade2,106
45 to 49 years,Hispanic,Female,High school graduate,554
45 to 49 years,Hispanic,Female,"Some college, no degree",248
45 to 49 years,Hispanic,Female,"Associate's degree, occupational",61
45 to 49 years,Hispanic,Female,"Associate's degree, academic",83
45 to 49 years,Hispanic,Female,Bachelor's degree,305
45 to 49 years,Hispanic,Female,Master's degree,99
45 to 49 years,Hispanic,Female,Professional degree,7
45 to 49 years,Hispanic,Female,Doctoral degree,16
50 to 54 years,Hispanic,Female,None,9
50 to 54 years,Hispanic,Female,1st - 4th grade,54
50 to 54 years,Hispanic,Female,5th - 6th grade,129
50 to 54 years,Hispanic,Female,7th - 8th grade,69
50 to 54 years,Hispanic,Female,9th grade,87
50 to 54 years,Hispanic,Female,10th grade,56
50 to 54 years,Hispanic,Female,11th grade2,93
50 to 54 years,Hispanic,Female,High school graduate,459
50 to 54 years,Hispanic,Female,"Some college, no degree",205
50 to 54 years,Hispanic,Female,"Associate's degree, occupational",65
50 to 54 years,Hispanic,Female,"Associate's degree, academic",85
50 to 54 years,Hispanic,Female,Bachelor's degree,197
50 to 54 years,Hispanic,Female,Master's degree,105
50 to 54 years,Hispanic,Female,Professional degree,15
50 to 54 years,Hispanic,Female,Doctoral degree,9
55 to 59 years,Hispanic,Female,None,9
55 to 59 years,Hispanic,Female,1st - 4th grade,72
55 to 59 years,Hispanic,Female,5th - 6th grade,114
55 to 59 years,Hispanic,Female,7th - 8th grade,81
55 to 59 years,Hispanic,Female,9th grade,70
55 to 59 years,Hispanic,Female,10th grade,33
55 to 59 years,Hispanic,Female,11th grade2,67
55 to 59 years,Hispanic,Female,High school graduate,402
55 to 59 years,Hispanic,Female,"Some college, no degree",194
55 to 59 years,Hispanic,Female,"Associate's degree, occupational",49
55 to 59 years,Hispanic,Female,"Associate's degree, academic",78
55 to 59 years,Hispanic,Female,Bachelor's degree,178
55 to 59 years,Hispanic,Female,Master's degree,77
55 to 59 years,Hispanic,Female,Professional degree,0
55 to 59 years,Hispanic,Female,Doctoral degree,10
60 to 64 years,Hispanic,Female,None,20
60 to 64 years,Hispanic,Female,1st - 4th grade,64
60 to 64 years,Hispanic,Female,5th - 6th grade,118
60 to 64 years,Hispanic,Female,7th - 8th grade,59
60 to 64 years,Hispanic,Female,9th grade,65
60 to 64 years,Hispanic,Female,10th grade,37
60 to 64 years,Hispanic,Female,11th grade2,44
60 to 64 years,Hispanic,Female,High school graduate,332
60 to 64 years,Hispanic,Female,"Some college, no degree",135
60 to 64 years,Hispanic,Female,"Associate's degree, occupational",39
60 to 64 years,Hispanic,Female,"Associate's degree, academic",38
60 to 64 years,Hispanic,Female,Bachelor's degree,131
60 to 64 years,Hispanic,Female,Master's degree,47
60 to 64 years,Hispanic,Female,Professional degree,6
60 to 64 years,Hispanic,Female,Doctoral degree,10
65 to 69 years,Hispanic,Female,None,16
65 to 69 years,Hispanic,Female,1st - 4th grade,49
65 to 69 years,Hispanic,Female,5th - 6th grade,84
65 to 69 years,Hispanic,Female,7th - 8th grade,53
65 to 69 years,Hispanic,Female,9th grade,43
65 to 69 years,Hispanic,Female,10th grade,25
65 to 69 years,Hispanic,Female,11th grade2,28
65 to 69 years,Hispanic,Female,High school graduate,259
65 to 69 years,Hispanic,Female,"Some college, no degree",85
65 to 69 years,Hispanic,Female,"Associate's degree, occupational",10
65 to 69 years,Hispanic,Female,"Associate's degree, academic",32
65 to 69 years,Hispanic,Female,Bachelor's degree,107
65 to 69 years,Hispanic,Female,Master's degree,40
65 to 69 years,Hispanic,Female,Professional degree,10
65 to 69 years,Hispanic,Female,Doctoral degree,15
70 to 74 years,Hispanic,Female,None,19
70 to 74 years,Hispanic,Female,1st - 4th grade,55
70 to 74 years,Hispanic,Female,5th - 6th grade,56
70 to 74 years,Hispanic,Female,7th - 8th grade,59
70 to 74 years,Hispanic,Female,9th grade,39
70 to 74 years,Hispanic,Female,10th grade,21
70 to 74 years,Hispanic,Female,11th grade2,31
70 to 74 years,Hispanic,Female,High school graduate,212
70 to 74 years,Hispanic,Female,"Some college, no degree",61
70 to 74 years,Hispanic,Female,"Associate's degree, occupational",18
70 to 74 years,Hispanic,Female,"Associate's degree, academic",42
70 to 74 years,Hispanic,Female,Bachelor's degree,60
70 to 74 years,Hispanic,Female,Master's degree,37
70 to 74 years,Hispanic,Female,Professional degree,3
70 to 74 years,Hispanic,Female,Doctoral degree,8
75 years and over,Hispanic,Female,None,24
75 years and over,Hispanic,Female,1st - 4th grade,100
75 years and over,Hispanic,Female,5th - 6th grade,145
75 years and over,Hispanic,Female,7th - 8th grade,61
75 years and over,Hispanic,Female,9th grade,61
75 years and over,Hispanic,Female,10th grade,36
75 years and over,Hispanic,Female,11th grade2,39
75 years and over,Hispanic,Female,High school graduate,271
75 years and over,Hispanic,Female,"Some college, no degree",76
75 years and over,Hispanic,Female,"Associate's degree, occupational",32
75 years and over,Hispanic,Female,"Associate's degree, academic",19
75 years and over,Hispanic,Female,Bachelor's degree,86
75 years and over,Hispanic,Female,Master's degree,24
75 years and over,Hispanic,Female,Professional degree,2
75 years and over,Hispanic,Female,Doctoral degree,6
18 to 24 years,Black,Male,None,9
18 to 24 years,Black,Male,1st - 4th grade,3
18 to 24 years,Black,Male,5th - 6th grade,1
18 to 24 years,Black,Male,7th - 8th grade,4
18 to 24 years,Black,Male,9th grade,18
18 to 24 years,Black,Male,10th grade,52
18 to 24 years,Black,Male,11th grade2,315
18 to 24 years,Black,Male,High school graduate,843
18 to 24 years,Black,Male,"Some college, no degree",623
18 to 24 years,Black,Male,"Associate's degree, occupational",41
18 to 24 years,Black,Male,"Associate's degree, academic",54
18 to 24 years,Black,Male,Bachelor's degree,105
18 to 24 years,Black,Male,Master's degree,7
18 to 24 years,Black,Male,Professional degree,0
18 to 24 years,Black,Male,Doctoral degree,0
25 to 29 years,Black,Male,None,11
25 to 29 years,Black,Male,1st - 4th grade,3
25 to 29 years,Black,Male,5th - 6th grade,4
25 to 29 years,Black,Male,7th - 8th grade,4
25 to 29 years,Black,Male,9th grade,23
25 to 29 years,Black,Male,10th grade,24
25 to 29 years,Black,Male,11th grade2,126
25 to 29 years,Black,Male,High school graduate,535
25 to 29 years,Black,Male,"Some college, no degree",375
25 to 29 years,Black,Male,"Associate's degree, occupational",73
25 to 29 years,Black,Male,"Associate's degree, academic",80
25 to 29 years,Black,Male,Bachelor's degree,434
25 to 29 years,Black,Male,Master's degree,62
25 to 29 years,Black,Male,Professional degree,0
25 to 29 years,Black,Male,Doctoral degree,4
30 to 34 years,Black,Male,None,11
30 to 34 years,Black,Male,1st - 4th grade,2
30 to 34 years,Black,Male,5th - 6th grade,0
30 to 34 years,Black,Male,7th - 8th grade,11
30 to 34 years,Black,Male,9th grade,0
30 to 34 years,Black,Male,10th grade,19
30 to 34 years,Black,Male,11th grade2,60
30 to 34 years,Black,Male,High school graduate,565
30 to 34 years,Black,Male,"Some college, no degree",297
30 to 34 years,Black,Male,"Associate's degree, occupational",58
30 to 34 years,Black,Male,"Associate's degree, academic",58
30 to 34 years,Black,Male,Bachelor's degree,260
30 to 34 years,Black,Male,Master's degree,79
30 to 34 years,Black,Male,Professional degree,12
30 to 34 years,Black,Male,Doctoral degree,3
35 to 39 years,Black,Male,None,1
35 to 39 years,Black,Male,1st - 4th grade,0
35 to 39 years,Black,Male,5th - 6th grade,1
35 to 39 years,Black,Male,7th - 8th grade,0
35 to 39 years,Black,Male,9th grade,30
35 to 39 years,Black,Male,10th grade,49
35 to 39 years,Black,Male,11th grade2,85
35 to 39 years,Black,Male,High school graduate,437
35 to 39 years,Black,Male,"Some college, no degree",240
35 to 39 years,Black,Male,"Associate's degree, occupational",69
35 to 39 years,Black,Male,"Associate's degree, academic",69
35 to 39 years,Black,Male,Bachelor's degree,235
35 to 39 years,Black,Male,Master's degree,73
35 to 39 years,Black,Male,Professional degree,7
35 to 39 years,Black,Male,Doctoral degree,21
40 to 44 years,Black,Male,None,3
40 to 44 years,Black,Male,1st - 4th grade,4
40 to 44 years,Black,Male,5th - 6th grade,1
40 to 44 years,Black,Male,7th - 8th grade,12
40 to 44 years,Black,Male,9th grade,18
40 to 44 years,Black,Male,10th grade,36
40 to 44 years,Black,Male,11th grade2,49
40 to 44 years,Black,Male,High school graduate,378
40 to 44 years,Black,Male,"Some college, no degree",180
40 to 44 years,Black,Male,"Associate's degree, occupational",68
40 to 44 years,Black,Male,"Associate's degree, academic",67
40 to 44 years,Black,Male,Bachelor's degree,217
40 to 44 years,Black,Male,Master's degree,105
40 to 44 years,Black,Male,Professional degree,8
40 to 44 years,Black,Male,Doctoral degree,26
45 to 49 years,Black,Male,None,1
45 to 49 years,Black,Male,1st - 4th grade,5
45 to 49 years,Black,Male,5th - 6th grade,5
45 to 49 years,Black,Male,7th - 8th grade,14
45 to 49 years,Black,Male,9th grade,13
45 to 49 years,Black,Male,10th grade,19
45 to 49 years,Black,Male,11th grade2,42
45 to 49 years,Black,Male,High school graduate,457
45 to 49 years,Black,Male,"Some college, no degree",223
45 to 49 years,Black,Male,"Associate's degree, occupational",48
45 to 49 years,Black,Male,"Associate's degree, academic",92
45 to 49 years,Black,Male,Bachelor's degree,165
45 to 49 years,Black,Male,Master's degree,75
45 to 49 years,Black,Male,Professional degree,4
45 to 49 years,Black,Male,Doctoral degree,19
50 to 54 years,Black,Male,None,4
50 to 54 years,Black,Male,1st - 4th grade,3
50 to 54 years,Black,Male,5th - 6th grade,0
50 to 54 years,Black,Male,7th - 8th grade,22
50 to 54 years,Black,Male,9th grade,13
50 to 54 years,Black,Male,10th grade,14
50 to 54 years,Black,Male,11th grade2,79
50 to 54 years,Black,Male,High school graduate,431
50 to 54 years,Black,Male,"Some college, no degree",207
50 to 54 years,Black,Male,"Associate's degree, occupational",39
50 to 54 years,Black,Male,"Associate's degree, academic",101
50 to 54 years,Black,Male,Bachelor's degree,169
50 to 54 years,Black,Male,Master's degree,98
50 to 54 years,Black,Male,Professional degree,15
50 to 54 years,Black,Male,Doctoral degree,9
55 to 59 years,Black,Male,None,5
55 to 59 years,Black,Male,1st - 4th grade,1
55 to 59 years,Black,Male,5th - 6th grade,23
55 to 59 years,Black,Male,7th - 8th grade,15
55 to 59 years,Black,Male,9th grade,30
55 to 59 years,Black,Male,10th grade,45
55 to 59 years,Black,Male,11th grade2,75
55 to 59 years,Black,Male,High school graduate,471
55 to 59 years,Black,Male,"Some college, no degree",139
55 to 59 years,Black,Male,"Associate's degree, occupational",52
55 to 59 years,Black,Male,"Associate's degree, academic",75
55 to 59 years,Black,Male,Bachelor's degree,199
55 to 59 years,Black,Male,Master's degree,76
55 to 59 years,Black,Male,Professional degree,4
55 to 59 years,Black,Male,Doctoral degree,15
60 to 64 years,Black,Male,None,2
60 to 64 years,Black,Male,1st - 4th grade,8
60 to 64 years,Black,Male,5th - 6th grade,9
60 to 64 years,Black,Male,7th - 8th grade,13
60 to 64 years,Black,Male,9th grade,10
60 to 64 years,Black,Male,10th grade,33
60 to 64 years,Black,Male,11th grade2,71
60 to 64 years,Black,Male,High school graduate,401
60 to 64 years,Black,Male,"Some college, no degree",168
60 to 64 years,Black,Male,"Associate's degree, occupational",41
60 to 64 years,Black,Male,"Associate's degree, academic",41
60 to 64 years,Black,Male,Bachelor's degree,129
60 to 64 years,Black,Male,Master's degree,57
60 to 64 years,Black,Male,Professional degree,1
60 to 64 years,Black,Male,Doctoral degree,9
65 to 69 years,Black,Male,None,2
65 to 69 years,Black,Male,1st - 4th grade,5
65 to 69 years,Black,Male,5th - 6th grade,8
65 to 69 years,Black,Male,7th - 8th grade,26
65 to 69 years,Black,Male,9th grade,14
65 to 69 years,Black,Male,10th grade,36
65 to 69 years,Black,Male,11th grade2,57
65 to 69 years,Black,Male,High school graduate,306
65 to 69 years,Black,Male,"Some college, no degree",153
65 to 69 years,Black,Male,"Associate's degree, occupational",30
65 to 69 years,Black,Male,"Associate's degree, academic",32
65 to 69 years,Black,Male,Bachelor's degree,103
65 to 69 years,Black,Male,Master's degree,47
65 to 69 years,Black,Male,Professional degree,2
65 to 69 years,Black,Male,Doctoral degree,6
70 to 74 years,Black,Male,None,0
70 to 74 years,Black,Male,1st - 4th grade,10
70 to 74 years,Black,Male,5th - 6th grade,14
70 to 74 years,Black,Male,7th - 8th grade,7
70 to 74 years,Black,Male,9th grade,11
70 to 74 years,Black,Male,10th grade,23
70 to 74 years,Black,Male,11th grade2,30
70 to 74 years,Black,Male,High school graduate,204
70 to 74 years,Black,Male,"Some college, no degree",115
70 to 74 years,Black,Male,"Associate's degree, occupational",19
70 to 74 years,Black,Male,"Associate's degree, academic",34
70 to 74 years,Black,Male,Bachelor's degree,87
70 to 74 years,Black,Male,Master's degree,21
70 to 74 years,Black,Male,Professional degree,1
70 to 74 years,Black,Male,Doctoral degree,11
75 years and over,Black,Male,None,2
75 years and over,Black,Male,1st - 4th grade,18
75 years and over,Black,Male,5th - 6th grade,20
75 years and over,Black,Male,7th - 8th grade,55
75 years and over,Black,Male,9th grade,20
75 years and over,Black,Male,10th grade,38
75 years and over,Black,Male,11th grade2,42
75 years and over,Black,Male,High school graduate,242
75 years and over,Black,Male,"Some college, no degree",103
75 years and over,Black,Male,"Associate's degree, occupational",23
75 years and over,Black,Male,"Associate's degree, academic",8
75 years and over,Black,Male,Bachelor's degree,74
75 years and over,Black,Male,Master's degree,28
75 years and over,Black,Male,Professional degree,5
75 years and over,Black,Male,Doctoral degree,6
18 to 24 years,Black,Female,None,6
18 to 24 years,Black,Female,1st - 4th grade,6
18 to 24 years,Black,Female,5th - 6th grade,0
18 to 24 years,Black,Female,7th - 8th grade,5
18 to 24 years,Black,Female,9th grade,25
18 to 24 years,Black,Female,10th grade,28
18 to 24 years,Black,Female,11th grade2,250
18 to 24 years,Black,Female,High school graduate,746
18 to 24 years,Black,Female,"Some college, no degree",759
18 to 24 years,Black,Female,"Associate's degree, occupational",40
18 to 24 years,Black,Female,"Associate's degree, academic",57
18 to 24 years,Black,Female,Bachelor's degree,246
18 to 24 years,Black,Female,Master's degree,15
18 to 24 years,Black,Female,Professional degree,0
18 to 24 years,Black,Female,Doctoral degree,0
25 to 29 years,Black,Female,None,12
25 to 29 years,Black,Female,1st - 4th grade,5
25 to 29 years,Black,Female,5th - 6th grade,0
25 to 29 years,Black,Female,7th - 8th grade,8
25 to 29 years,Black,Female,9th grade,11
25 to 29 years,Black,Female,10th grade,30
25 to 29 years,Black,Female,11th grade2,64
25 to 29 years,Black,Female,High school graduate,512
25 to 29 years,Black,Female,"Some college, no degree",440
25 to 29 years,Black,Female,"Associate's degree, occupational",90
25 to 29 years,Black,Female,"Associate's degree, academic",128
25 to 29 years,Black,Female,Bachelor's degree,388
25 to 29 years,Black,Female,Master's degree,139
25 to 29 years,Black,Female,Professional degree,2
25 to 29 years,Black,Female,Doctoral degree,15
30 to 34 years,Black,Female,None,0
30 to 34 years,Black,Female,1st - 4th grade,8
30 to 34 years,Black,Female,5th - 6th grade,2
30 to 34 years,Black,Female,7th - 8th grade,9
30 to 34 years,Black,Female,9th grade,9
30 to 34 years,Black,Female,10th grade,28
30 to 34 years,Black,Female,11th grade2,56
30 to 34 years,Black,Female,High school graduate,471
30 to 34 years,Black,Female,"Some college, no degree",365
30 to 34 years,Black,Female,"Associate's degree, occupational",105
30 to 34 years,Black,Female,"Associate's degree, academic",108
30 to 34 years,Black,Female,Bachelor's degree,297
30 to 34 years,Black,Female,Master's degree,146
30 to 34 years,Black,Female,Professional degree,8
30 to 34 years,Black,Female,Doctoral degree,14
35 to 39 years,Black,Female,None,9
35 to 39 years,Black,Female,1st - 4th grade,0
35 to 39 years,Black,Female,5th - 6th grade,9
35 to 39 years,Black,Female,7th - 8th grade,5
35 to 39 years,Black,Female,9th grade,12
35 to 39 years,Black,Female,10th grade,18
35 to 39 years,Black,Female,11th grade2,64
35 to 39 years,Black,Female,High school graduate,404
35 to 39 years,Black,Female,"Some college, no degree",285
35 to 39 years,Black,Female,"Associate's degree, occupational",102
35 to 39 years,Black,Female,"Associate's degree, academic",134
35 to 39 years,Black,Female,Bachelor's degree,270
35 to 39 years,Black,Female,Master's degree,203
35 to 39 years,Black,Female,Professional degree,12
35 to 39 years,Black,Female,Doctoral degree,23
40 to 44 years,Black,Female,None,4
40 to 44 years,Black,Female,1st - 4th grade,7
40 to 44 years,Black,Female,5th - 6th grade,4
40 to 44 years,Black,Female,7th - 8th grade,23
40 to 44 years,Black,Female,9th grade,17
40 to 44 years,Black,Female,10th grade,17
40 to 44 years,Black,Female,11th grade2,59
40 to 44 years,Black,Female,High school graduate,378
40 to 44 years,Black,Female,"Some college, no degree",258
40 to 44 years,Black,Female,"Associate's degree, occupational",41
40 to 44 years,Black,Female,"Associate's degree, academic",86
40 to 44 years,Black,Female,Bachelor's degree,304
40 to 44 years,Black,Female,Master's degree,181
40 to 44 years,Black,Female,Professional degree,18
40 to 44 years,Black,Female,Doctoral degree,25
45 to 49 years,Black,Female,None,4
45 to 49 years,Black,Female,1st - 4th grade,4
45 to 49 years,Black,Female,5th - 6th grade,4
45 to 49 years,Black,Female,7th - 8th grade,6
45 to 49 years,Black,Female,9th grade,10
45 to 49 years,Black,Female,10th grade,21
45 to 49 years,Black,Female,11th grade2,48
45 to 49 years,Black,Female,High school graduate,424
45 to 49 years,Black,Female,"Some college, no degree",268
45 to 49 years,Black,Female,"Associate's degree, occupational",56
45 to 49 years,Black,Female,"Associate's degree, academic",90
45 to 49 years,Black,Female,Bachelor's degree,287
45 to 49 years,Black,Female,Master's degree,179
45 to 49 years,Black,Female,Professional degree,24
45 to 49 years,Black,Female,Doctoral degree,23
50 to 54 years,Black,Female,None,12
50 to 54 years,Black,Female,1st - 4th grade,3
50 to 54 years,Black,Female,5th - 6th grade,1
50 to 54 years,Black,Female,7th - 8th grade,13
50 to 54 years,Black,Female,9th grade,35
50 to 54 years,Black,Female,10th grade,24
50 to 54 years,Black,Female,11th grade2,85
50 to 54 years,Black,Female,High school graduate,434
50 to 54 years,Black,Female,"Some college, no degree",257
50 to 54 years,Black,Female,"Associate's degree, occupational",59
50 to 54 years,Black,Female,"Associate's degree, academic",119
50 to 54 years,Black,Female,Bachelor's degree,202
50 to 54 years,Black,Female,Master's degree,146
50 to 54 years,Black,Female,Professional degree,22
50 to 54 years,Black,Female,Doctoral degree,14
55 to 59 years,Black,Female,None,5
55 to 59 years,Black,Female,1st - 4th grade,5
55 to 59 years,Black,Female,5th - 6th grade,6
55 to 59 years,Black,Female,7th - 8th grade,16
55 to 59 years,Black,Female,9th grade,13
55 to 59 years,Black,Female,10th grade,32
55 to 59 years,Black,Female,11th grade2,56
55 to 59 years,Black,Female,High school graduate,419
55 to 59 years,Black,Female,"Some college, no degree",340
55 to 59 years,Black,Female,"Associate's degree, occupational",61
55 to 59 years,Black,Female,"Associate's degree, academic",111
55 to 59 years,Black,Female,Bachelor's degree,239
55 to 59 years,Black,Female,Master's degree,97
55 to 59 years,Black,Female,Professional degree,15
55 to 59 years,Black,Female,Doctoral degree,15
60 to 64 years,Black,Female,None,4
60 to 64 years,Black,Female,1st - 4th grade,5
60 to 64 years,Black,Female,5th - 6th grade,7
60 to 64 years,Black,Female,7th - 8th grade,30
60 to 64 years,Black,Female,9th grade,25
60 to 64 years,Black,Female,10th grade,31
60 to 64 years,Black,Female,11th grade2,92
60 to 64 years,Black,Female,High school graduate,456
60 to 64 years,Black,Female,"Some college, no degree",257
60 to 64 years,Black,Female,"Associate's degree, occupational",38
60 to 64 years,Black,Female,"Associate's degree, academic",118
60 to 64 years,Black,Female,Bachelor's degree,164
60 to 64 years,Black,Female,Master's degree,109
60 to 64 years,Black,Female,Professional degree,6
60 to 64 years,Black,Female,Doctoral degree,7
65 to 69 years,Black,Female,None,5
65 to 69 years,Black,Female,1st - 4th grade,8
65 to 69 years,Black,Female,5th - 6th grade,12
65 to 69 years,Black,Female,7th - 8th grade,24
65 to 69 years,Black,Female,9th grade,33
65 to 69 years,Black,Female,10th grade,21
65 to 69 years,Black,Female,11th grade2,75
65 to 69 years,Black,Female,High school graduate,332
65 to 69 years,Black,Female,"Some college, no degree",198
65 to 69 years,Black,Female,"Associate's degree, occupational",52
65 to 69 years,Black,Female,"Associate's degree, academic",65
65 to 69 years,Black,Female,Bachelor's degree,157
65 to 69 years,Black,Female,Master's degree,86
65 to 69 years,Black,Female,Professional degree,8
